Year,Month,Monthly,Annual,Five-Year,Ten-Year,Twenty-Year
1880,1,0.324,-0.655,0.083,-0.187,-0.185
1880,2,-1.297,-0.719,0.075,-0.178,-0.194
1880,3,-2.436,-0.81,0.075,-0.175,-0.194
1880,4,-1.423,-0.864,0.082,-0.158,-0.206
1880,5,-0.765,-1.008,0.055,-0.154,-0.223
1880,6,0.688,-0.979,-0.02,-0.15,-0.231
1880,7,0.574,-1.178,-0.109,-0.157,-0.236
1880,8,-1.132,-1.15,-0.219,-0.164,-0.238
1880,9,-0.357,-0.761,-0.306,-0.163,-0.238
1880,10,-0.622,-0.655,-0.351,-0.156,-0.235
1880,11,-1.688,-0.567,-0.359,-0.113,-0.234
1880,12,-3.61,-0.597,-0.376,-0.112,-0.228
1881,1,-2.064,-0.58,-0.399,-0.137,-0.216
1881,2,-0.966,-0.449,-0.432,-0.143,-0.226
1881,3,2.228,-0.425,-0.416,-0.128,-0.228
1881,4,-0.147,-0.578,-0.414,-0.117,-0.22
1881,5,0.293,-0.631,-0.499,-0.113,-0.226
1881,6,0.322,-0.262,-0.554,-0.105,-0.225
1881,7,0.779,-0.08,-0.584,-0.092,-0.223
1881,8,0.443,0.031,-0.578,-0.089,-0.223
1881,9,-0.072,-0.311,-0.569,-0.102,-0.22
1881,10,-2.45,-0.374,-0.574,-0.088,-0.22
1881,11,-2.331,-0.435,-0.572,-0.078,-0.21
1881,12,0.816,-0.424,-0.565,-0.095,-0.186
1882,1,0.125,-0.55,-0.574,-0.129,-0.191
1882,2,0.371,-0.529,-0.57,-0.199,-0.197
1882,3,-1.881,-0.419,-0.587,-0.208,-0.193
1882,4,-0.908,-0.196,-0.621,-0.219,-0.193
1882,5,-0.435,-0.017,-0.629,-0.221,-0.194
1882,6,0.453,-0.152,-0.597,-0.212,-0.197
1882,7,-0.724,-0.317,-0.646,-0.217,-0.196
1882,8,0.684,-0.529,-0.65,-0.231,-0.196
1882,9,1.256,-0.473,-0.617,-0.247,-0.189
1882,10,0.22,-0.432,-0.582,-0.259,-0.188
1882,11,-0.174,-0.479,-0.565,-0.283,-0.199
1882,12,-0.807,-0.473,-0.563,-0.337,-0.189
1883,1,-1.855,-0.458,-0.572,-0.395,-0.194
1883,2,-2.176,-0.52,-0.558,-0.44,-0.201
1883,3,-1.205,-0.596,-0.543,-0.488,-0.206
1883,4,-0.424,-0.688,-0.537,-0.527,-0.216
1883,5,-0.996,-0.848,-0.486,-0.535,-0.215
1883,6,0.522,-0.909,-0.424,-0.547,-0.215
