Year,Month,Monthly,Annual,Five-Year,Ten-Year,Twenty-Year
1880,1,-10.432,-11.24,-10.034,-10.498,-10.553
1880,2,-12.686,-11.246,-10.025,-10.483,-10.569
1880,3,-13.67,-11.211,-10.026,-10.47,-10.574
1880,4,-12.948,-11.163,-10.011,-10.456,-10.583
1880,5,-9.704,-11.275,-10.049,-10.447,-10.592
1880,6,-9.76,-11.125,-10.141,-10.443,-10.601
1880,7,-9.553,-11.175,-10.232,-10.443,-10.603
1880,8,-10.69,-10.995,-10.357,-10.449,-10.603
1880,9,-9.541,-10.533,-10.447,-10.455,-10.607
1880,10,-9.687,-10.294,-10.521,-10.455,-10.606
1880,11,-11.933,-10.27,-10.535,-10.412,-10.61
1880,12,-12.889,-10.29,-10.556,-10.408,-10.612
1881,1,-11.034,-10.264,-10.598,-10.436,-10.604
1881,2,-10.529,-10.166,-10.624,-10.446,-10.623
1881,3,-8.127,-10.156,-10.635,-10.445,-10.633
1881,4,-10.081,-10.354,-10.644,-10.443,-10.632
1881,5,-9.417,-10.382,-10.742,-10.443,-10.636
1881,6,-9.998,-10.1,-10.823,-10.434,-10.638
1881,7,-9.241,-10.132,-10.873,-10.426,-10.639
1881,8,-9.513,-10.209,-10.893,-10.43,-10.639
1881,9,-9.419,-10.638,-10.916,-10.442,-10.635
1881,10,-12.061,-10.75,-10.93,-10.438,-10.635
1881,11,-12.28,-10.848,-10.952,-10.435,-10.632
1881,12,-9.498,-10.838,-10.96,-10.45,-10.608
1882,1,-11.42,-10.883,-10.972,-10.488,-10.613
1882,2,-11.45,-10.885,-10.971,-10.563,-10.609
1882,3,-13.285,-10.881,-10.983,-10.584,-10.598
1882,4,-11.417,-10.683,-11.02,-10.6,-10.598
1882,5,-10.596,-10.572,-11.028,-10.609,-10.6
1882,6,-9.874,-10.707,-10.974,-10.595,-10.603
1882,7,-9.78,-10.77,-11.005,-10.589,-10.603
1882,8,-9.547,-10.899,-10.983,-10.597,-10.603
1882,9,-9.369,-10.688,-10.941,-10.607,-10.606
1882,10,-9.685,-10.693,-10.878,-10.619,-10.6
1882,11,-10.942,-10.687,-10.884,-10.646,-10.607
1882,12,-11.122,-10.696,-10.894,-10.705,-10.591
1883,1,-12.177,-10.841,-10.911,-10.762,-10.591
1883,2,-12.992,-10.946,-10.913,-10.812,-10.594
1883,3,-10.757,-11.056,-10.934,-10.871,-10.599
1883,4,-11.471,-11.174,-10.946,-10.914,-10.609
1883,5,-10.528,-11.348,-10.89,-10.927,-10.608
1883,6,-9.985,-11.471,-10.841,-10.941,-10.605
1883,7,-11.518,-11.508,-10.898,-10.954,-10.603
1883,8,-10.8,-11.609,-10.946,-10.968,-10.601
1883,9,-10.689,-11.738,-11.001,-10.961,-10.598
1883,10,-11.105,-11.642,-11.003,-10.957,-10.595
1883,11,-13.033,-11.671,-11.017,-10.98,-10.595
1883,12,-12.599,-11.682,-11.008,-10.982,-10.609
1884,1,-12.614,-11.634,-11.016,-10.965,-10.614
1884,2,-14.209,-11.614,-11.036,-10.946,-10.622
1884,3,-12.306,-11.609,-11.059,-10.903,-10.616
1884,4,-10.312,-11.727,-11.03,-10.89,-10.615
1884,5,-10.886,-11.563,-11.014,-10.887,-10.619
1884,6,-10.112,-11.468,-11.058,-10.887,-10.618
1884,7,-10.943,-11.44,-11.11,-10.884,-10.617
1884,8,-10.561,-11.202,-11.174,-10.882,-10.616
1884,9,-10.634,-11.109,-11.173,-10.881,-10.62
1884,10,-12.515,-11.012,-11.172,-10.883,-10.615
1884,11,-11.067,-10.942,-11.155,-10.877,-10.612
1884,12,-11.458,-10.966,-11.149,-10.848,-10.609
1885,1,-12.28,-10.931,-11.144,-10.868,-10.596
1885,2,-11.345,-10.952,-11.169,-10.876,-10.583
1885,3,-11.19,-10.969,-11.188,-10.864,-10.574
1885,4,-9.153,-10.792,-11.228,-10.855,-10.561
1885,5,-10.04,-10.585,-11.243,-10.872,-10.557
1885,6,-10.411,-10.459,-11.269,-10.875,-10.553
1885,7,-10.521,-10.642,-11.291,-10.879,-10.553
1885,8,-10.813,-10.812,-11.266,-10.879,-10.556
1885,9,-10.836,-10.834,-11.295,-10.886,-10.558
1885,10,-10.394,-10.918,-11.307,-10.884,-10.56
1885,11,-8.574,-10.939,-11.32,-10.861,-10.55
1885,12,-9.95,-10.858,-11.326,-10.839,-10.544
1886,1,-14.473,-10.791,-11.31,-10.814,-10.547
1886,2,-13.387,-10.783,-11.312,-10.853,-10.543
1886,3,-11.455,-10.78,-11.287,-10.874,-10.547
1886,4,-10.165,-10.775,-11.27,-10.87,-10.553
1886,5,-10.289,-11,-11.217,-10.886,-10.553
1886,6,-9.443,-11.186,-11.141,-10.888,-10.551
1886,7,-9.716,-11.193,-11.058,-10.902,-10.549
1886,8,-10.709,-11.348,-10.999,-10.908,-10.55
1886,9,-10.807,-11.496,-10.89,-10.908,-10.554
1886,10,-10.33,-11.598,-10.849,-10.898,-10.55
1886,11,-11.279,-11.537,-10.823,-10.89,-10.558
1886,12,-12.181,-11.544,-10.814,-10.878,-10.553
1887,1,-14.551,-11.523,-10.797,-10.863,-10.554
1887,2,-15.247,-11.551,-10.793,-10.852,-10.577
1887,3,-13.239,-11.527,-10.779,-10.821,-10.583
1887,4,-11.385,-11.672,-10.746,-10.818,-10.588
1887,5,-9.554,-11.718,-10.725,-10.821,-10.596
1887,6,-9.526,-11.76,-10.721,-10.824,-10.59
1887,7,-9.465,-11.675,-10.731,-10.83,-10.587
1887,8,-11.047,-11.359,-10.768,-10.836,-10.588
1887,9,-10.526,-11.297,-10.786,-10.84,-10.591
1887,10,-12.06,-11.365,-10.833,-10.832,-10.593
1887,11,-11.838,-11.511,-10.861,-10.844,-10.611
1887,12,-12.686,-11.578,-10.856,-10.83,-10.626
1888,1,-13.531,-11.669,-10.848,-10.817,-10.634
1888,2,-11.457,-11.658,-10.846,-10.81,-10.662
1888,3,-12.486,-11.549,-10.837,-10.815,-10.68
1888,4,-12.205,-11.384,-10.822,-10.828,-10.69
1888,5,-11.308,-11.219,-10.833,-10.825,-10.689
1888,6,-10.33,-10.832,-10.837,-10.821,-10.695
1888,7,-10.558,-10.339,-10.73,-10.807,-10.701
1888,8,-10.915,-10.273,-10.759,-10.799,-10.704
1888,9,-9.219,-9.714,-10.747,-10.795,-10.701
1888,10,-10.078,-9.352,-10.737,-10.79,-10.704
1888,11,-9.86,-9.188,-10.754,-10.78,-10.729
1888,12,-8.033,-9.125,-10.767,-10.794,-10.738
1889,1,-7.615,-9.069,-10.787,-10.794,-10.743
1889,2,-10.676,-9.019,-10.78,-10.782,-10.748
1889,3,-5.775,-9.071,-10.757,-10.767,-10.76
1889,4,-7.862,-9.106,-10.765,-10.779,-10.763
1889,5,-9.338,-9.102,-10.767,-10.772,-10.767
