Year,Month,Monthly,Annual,Five-Year,Ten-Year,Twenty-Year
1880,1,-5.182,-6.049,-5.073,-5.438,-5.433
1880,2,-7.765,-6.082,-5.073,-5.422,-5.444
1880,3,-8.216,-6.095,-5.072,-5.417,-5.444
1880,4,-6.929,-6.092,-5.068,-5.403,-5.455
1880,5,-5.102,-6.186,-5.101,-5.395,-5.464
1880,6,-4.524,-6.028,-5.17,-5.389,-5.472
1880,7,-4.615,-6.093,-5.247,-5.386,-5.475
1880,8,-5.895,-5.914,-5.353,-5.391,-5.478
1880,9,-5.094,-5.52,-5.436,-5.395,-5.483
1880,10,-5.014,-5.375,-5.493,-5.389,-5.479
1880,11,-6.548,-5.323,-5.496,-5.346,-5.482
1880,12,-7.452,-5.351,-5.505,-5.333,-5.487
1881,1,-5.957,-5.352,-5.529,-5.361,-5.473
1881,2,-5.624,-5.247,-5.56,-5.363,-5.491
1881,3,-3.482,-5.225,-5.557,-5.354,-5.493
1881,4,-5.196,-5.396,-5.554,-5.347,-5.489
1881,5,-4.473,-5.441,-5.644,-5.344,-5.496
1881,6,-4.867,-5.183,-5.719,-5.335,-5.498
1881,7,-4.628,-5.175,-5.758,-5.326,-5.501
1881,8,-4.628,-5.19,-5.764,-5.325,-5.499
1881,9,-4.835,-5.54,-5.78,-5.338,-5.495
1881,10,-7.061,-5.629,-5.787,-5.331,-5.499
1881,11,-7.087,-5.709,-5.791,-5.325,-5.496
1881,12,-4.364,-5.707,-5.788,-5.335,-5.479
1882,1,-5.851,-5.798,-5.801,-5.37,-5.482
1882,2,-5.803,-5.779,-5.795,-5.438,-5.484
1882,3,-7.683,-5.72,-5.808,-5.453,-5.48
1882,4,-6.269,-5.551,-5.844,-5.47,-5.482
1882,5,-5.432,-5.451,-5.857,-5.479,-5.485
1882,6,-4.846,-5.576,-5.826,-5.469,-5.486
1882,7,-5.722,-5.66,-5.858,-5.474,-5.489
1882,8,-4.4,-5.804,-5.83,-5.485,-5.49
1882,9,-4.124,-5.629,-5.805,-5.494,-5.49
1882,10,-5.026,-5.624,-5.772,-5.509,-5.485
1882,11,-5.888,-5.613,-5.771,-5.532,-5.491
