Year,Month,Monthly,Annual,Five,Ten,Twenty
1811,8,-0.225,NaN,NaN,NaN,NaN
1811,9,-0.502,NaN,NaN,NaN,NaN
1811,10,-3.214,NaN,NaN,NaN,NaN
1811,11,-2.967,NaN,NaN,NaN,NaN
1811,12,0.556,NaN,NaN,NaN,NaN
1812,1,-2.02,-1.892,NaN,NaN,NaN
1812,2,-4.646,-1.765,NaN,NaN,NaN
1812,3,-3.264,-1.745,NaN,NaN,NaN
1812,4,-2.678,-1.662,NaN,NaN,NaN
1812,5,-1.603,NaN,NaN,NaN,NaN
1812,6,-1.753,NaN,NaN,NaN,NaN
1812,7,-0.391,NaN,NaN,NaN,NaN
1812,8,NaN,NaN,NaN,NaN,NaN
1812,9,NaN,NaN,NaN,NaN,NaN
1812,10,-2.222,NaN,NaN,NaN,NaN
1812,11,-2.168,NaN,NaN,NaN,NaN
1812,12,-0.467,NaN,NaN,NaN,NaN
1813,1,-2.447,NaN,NaN,NaN,NaN
1813,2,-1.126,-1.025,NaN,NaN,NaN
1813,3,NaN,-0.869,NaN,NaN,NaN
1813,4,0.087,NaN,NaN,NaN,NaN
1813,5,0.92,NaN,NaN,NaN,NaN
1813,6,-0.205,NaN,NaN,NaN,NaN
1813,7,0.124,NaN,NaN,NaN,NaN
1813,8,-0.962,NaN,NaN,NaN,NaN
1813,9,1.608,NaN,NaN,NaN,NaN
1813,10,NaN,NaN,NaN,NaN,NaN
1813,11,NaN,NaN,NaN,NaN,NaN
1813,12,NaN,NaN,NaN,NaN,NaN
1814,1,NaN,NaN,NaN,NaN,NaN
1814,2,NaN,NaN,NaN,NaN,NaN
1814,3,NaN,NaN,NaN,NaN,NaN
1814,4,NaN,NaN,NaN,NaN,NaN
1814,5,NaN,NaN,NaN,NaN,NaN
1814,6,NaN,NaN,NaN,NaN,NaN
1814,7,NaN,NaN,NaN,NaN,NaN
1814,8,NaN,NaN,NaN,NaN,NaN
1814,9,NaN,NaN,NaN,NaN,NaN
1814,10,NaN,NaN,NaN,NaN,NaN
1814,11,NaN,NaN,NaN,NaN,NaN
1814,12,NaN,NaN,NaN,NaN,NaN
1815,1,NaN,NaN,NaN,NaN,NaN
1815,2,NaN,NaN,NaN,NaN,NaN
1815,3,NaN,NaN,NaN,NaN,NaN
1815,4,NaN,NaN,NaN,NaN,NaN
1815,5,NaN,NaN,NaN,NaN,NaN
1815,6,NaN,NaN,NaN,NaN,NaN
1815,7,NaN,NaN,NaN,NaN,NaN
1815,8,NaN,NaN,NaN,NaN,NaN
1815,9,NaN,NaN,NaN,NaN,NaN
1815,10,NaN,NaN,NaN,NaN,NaN
1815,11,NaN,NaN,NaN,NaN,NaN
1815,12,NaN,NaN,NaN,NaN,NaN
1816,1,NaN,NaN,NaN,NaN,NaN
1816,2,NaN,NaN,NaN,NaN,NaN
1816,3,NaN,NaN,NaN,NaN,NaN
1816,4,NaN,NaN,NaN,NaN,NaN
1816,5,NaN,NaN,NaN,NaN,NaN
1816,6,NaN,NaN,NaN,NaN,NaN
1816,7,NaN,NaN,NaN,NaN,NaN
1816,8,NaN,NaN,NaN,NaN,NaN
1816,9,NaN,NaN,NaN,NaN,NaN
1816,10,NaN,NaN,NaN,NaN,NaN
1816,11,NaN,NaN,NaN,NaN,NaN
1816,12,NaN,NaN,NaN,NaN,NaN
1817,1,NaN,NaN,NaN,NaN,NaN
1817,2,NaN,NaN,NaN,NaN,NaN
1817,3,NaN,NaN,NaN,NaN,NaN
1817,4,NaN,NaN,NaN,NaN,NaN
1817,5,NaN,NaN,NaN,NaN,NaN
1817,6,NaN,NaN,NaN,NaN,NaN
1817,7,NaN,NaN,NaN,NaN,NaN
1817,8,NaN,NaN,NaN,NaN,NaN
1817,9,NaN,NaN,NaN,NaN,NaN
1817,10,NaN,NaN,NaN,NaN,NaN
1817,11,NaN,NaN,NaN,NaN,NaN
1817,12,NaN,NaN,NaN,NaN,NaN
1818,1,NaN,NaN,NaN,NaN,NaN
1818,2,NaN,NaN,NaN,NaN,NaN
1818,3,NaN,NaN,NaN,NaN,NaN
1818,4,NaN,NaN,NaN,NaN,NaN
1818,5,NaN,NaN,NaN,NaN,NaN
1818,6,NaN,NaN,NaN,NaN,NaN
1818,7,NaN,NaN,NaN,NaN,NaN
1818,8,NaN,NaN,NaN,NaN,NaN
1818,9,NaN,NaN,NaN,NaN,NaN
1818,10,NaN,NaN,NaN,NaN,NaN
1818,11,NaN,NaN,NaN,NaN,NaN
1818,12,NaN,NaN,NaN,NaN,NaN
1819,1,NaN,NaN,NaN,NaN,NaN
1819,2,NaN,NaN,NaN,NaN,NaN
1819,3,NaN,NaN,NaN,NaN,NaN
1819,4,NaN,NaN,NaN,NaN,NaN
1819,5,NaN,NaN,NaN,NaN,NaN
1819,6,NaN,NaN,NaN,NaN,NaN
1819,7,NaN,NaN,NaN,NaN,NaN
1819,8,NaN,NaN,NaN,NaN,NaN
1819,9,NaN,NaN,NaN,NaN,NaN
1819,10,NaN,NaN,NaN,NaN,NaN
1819,11,NaN,NaN,NaN,NaN,NaN
1819,12,NaN,NaN,NaN,NaN,NaN
1820,1,NaN,NaN,NaN,NaN,NaN
1820,2,NaN,NaN,NaN,NaN,NaN
1820,3,NaN,NaN,NaN,NaN,NaN
1820,4,NaN,NaN,NaN,NaN,NaN
1820,5,NaN,NaN,NaN,NaN,NaN
1820,6,NaN,NaN,NaN,NaN,NaN
1820,7,NaN,NaN,NaN,NaN,NaN
1820,8,NaN,NaN,NaN,NaN,NaN
1820,9,NaN,NaN,NaN,NaN,NaN
1820,10,NaN,NaN,NaN,NaN,NaN
1820,11,NaN,NaN,NaN,NaN,NaN
1820,12,NaN,NaN,NaN,NaN,NaN
1821,1,NaN,NaN,NaN,NaN,NaN
1821,2,NaN,NaN,NaN,NaN,NaN
1821,3,NaN,NaN,NaN,NaN,NaN
1821,4,NaN,NaN,NaN,NaN,NaN
1821,5,NaN,NaN,NaN,NaN,NaN
1821,6,NaN,NaN,NaN,NaN,NaN
1821,7,NaN,NaN,NaN,NaN,NaN
1821,8,NaN,NaN,NaN,NaN,NaN
1821,9,NaN,NaN,NaN,NaN,NaN
1821,10,NaN,NaN,NaN,NaN,NaN
1821,11,NaN,NaN,NaN,NaN,NaN
1821,12,NaN,NaN,NaN,NaN,NaN
1822,1,NaN,NaN,NaN,NaN,NaN
1822,2,NaN,NaN,NaN,NaN,NaN
1822,3,NaN,NaN,NaN,NaN,NaN
1822,4,NaN,NaN,NaN,NaN,NaN
1822,5,NaN,NaN,NaN,NaN,NaN
