Year,Month,Monthly,Annual,Five-Year,Ten-Year,Twenty-Year
1880,1,35.55,34.621,34.458,NaN,NaN
1880,2,32.395,34.617,34.427,NaN,NaN
1880,3,35.861,34.593,34.432,NaN,NaN
1880,4,35.147,34.597,34.437,NaN,NaN
1880,5,34.886,34.61,34.43,NaN,NaN
1880,6,NaN,34.484,34.426,NaN,NaN
1880,7,NaN,34.393,34.436,NaN,NaN
1880,8,34.212,34.667,34.441,NaN,NaN
1880,9,34.402,34.515,34.404,NaN,NaN
1880,10,34.381,34.481,34.412,34.204,NaN
1880,11,34.757,34.572,34.391,34.222,NaN
1880,12,33.524,34.576,34.41,34.233,NaN
1881,1,34.464,34.617,34.386,34.237,NaN
1881,2,35.673,34.592,34.379,34.239,NaN
1881,3,34.037,34.566,34.355,34.241,NaN
1881,4,34.738,34.568,34.346,34.249,NaN
1881,5,35.988,34.545,34.331,34.262,NaN
1881,6,34.361,34.627,34.31,34.267,NaN
1881,7,34.863,34.618,34.299,34.273,NaN
1881,8,33.921,34.389,34.276,34.276,NaN
1881,9,34.088,34.3,34.274,34.279,NaN
1881,10,34.405,34.283,34.266,34.288,NaN
1881,11,34.474,34.193,34.269,34.3,NaN
1881,12,34.518,34.214,34.279,34.293,NaN
1882,1,34.345,34.103,34.264,34.287,NaN
1882,2,32.925,34.111,34.255,34.282,NaN
1882,3,32.969,34.145,34.25,34.276,NaN
1882,4,34.544,34.122,34.246,34.282,NaN
1882,5,34.907,34.041,34.238,34.277,NaN
1882,6,34.606,33.964,34.23,34.272,NaN
1882,7,33.529,33.916,34.186,34.266,NaN
1882,8,34.018,33.952,34.194,34.25,NaN
1882,9,34.502,33.968,34.149,34.252,NaN
1882,10,34.123,34.032,34.1,34.258,NaN
1882,11,33.502,33.995,34.074,34.265,NaN
1882,12,33.594,34.042,34.064,34.263,NaN
1883,1,33.773,34.016,34.072,34.262,NaN
1883,2,33.355,34.041,34.097,34.262,NaN
1883,3,33.16,34.025,34.094,34.254,NaN
1883,4,35.32,34.047,34.088,34.251,34.246
1883,5,34.455,34.041,34.101,34.235,34.245
1883,6,35.179,34.04,34.121,34.231,34.246
1883,7,33.209,34.116,34.109,34.229,34.243
1883,8,34.321,34.115,34.075,34.22,34.244
1883,9,34.313,34.143,34.064,34.211,34.249
1883,10,34.382,34.022,34.081,34.212,34.253
1883,11,33.431,33.995,34.079,34.209,34.256
1883,12,33.575,33.913,34.079,34.204,34.259
1884,1,34.692,33.966,34.075,34.189,34.257
1884,2,33.345,33.915,34.081,34.188,34.257
1884,3,33.498,33.921,34.089,34.203,34.261
1884,4,33.86,33.895,34.091,34.204,34.266
1884,5,34.131,33.951,34.091,34.208,34.265
1884,6,34.198,34.035,34.075,34.219,34.269
1884,7,33.845,33.887,34.057,34.219,34.271
1884,8,33.712,33.846,34.075,34.217,34.27
1884,9,34.383,33.818,34.09,34.217,34.273
1884,10,34.064,33.68,34.097,34.215,34.27
1884,11,34.113,33.616,34.073,34.204,34.275
1884,12,34.575,33.574,34.06,34.202,34.274
1885,1,32.924,33.659,34.073,34.191,34.271
1885,2,32.848,33.823,34.074,34.204,34.274
1885,3,33.16,33.81,34.071,34.187,34.264
1885,4,32.206,33.809,34.078,34.181,34.262
1885,5,33.366,33.929,34.1,34.179,34.252
1885,6,33.695,33.94,34.099,34.183,34.252
1885,7,34.856,34.01,34.088,34.184,34.245
1885,8,35.69,34.073,34.084,34.179,34.241
1885,9,34.219,34.093,34.103,34.181,34.237
1885,10,34.059,34.388,34.089,34.182,34.239
1885,11,35.553,34.594,34.079,34.173,34.241
1885,12,34.708,34.65,34.051,34.164,34.248
1886,1,33.755,34.633,34.071,34.16,34.256
1886,2,33.606,34.517,34.062,34.137,34.255
1886,3,33.404,34.542,34.068,34.132,34.258
1886,4,35.744,34.584,34.079,34.131,34.26
1886,5,35.834,34.493,34.087,34.115,34.26
1886,6,34.374,34.397,34.099,34.112,34.263
1886,7,34.654,34.357,34.08,34.102,34.266
1886,8,34.29,34.389,34.1,34.104,34.266
1886,9,34.526,34.429,34.133,34.113,34.269
1886,10,34.562,34.361,34.143,34.123,34.271
1886,11,34.456,34.166,34.148,34.126,34.272
1886,12,33.563,34.121,34.159,34.133,34.273
1887,1,33.275,34.091,34.173,34.129,34.27
1887,2,33.987,34.071,34.178,34.143,34.262
1887,3,33.881,34.058,34.184,34.169,34.256
1887,4,34.936,34.055,34.184,34.179,34.26
1887,5,33.487,34.088,34.171,34.172,34.265
1887,6,33.831,34.085,34.175,34.171,34.265
1887,7,34.301,34.07,34.196,34.176,34.265
1887,8,34.052,33.995,34.214,34.179,34.259
1887,9,34.368,34.032,34.225,34.181,34.263
1887,10,34.526,33.996,34.261,34.187,34.269
1887,11,34.847,34.022,34.283,34.194,34.271
1887,12,33.531,33.999,34.302,34.191,34.274
1888,1,33.088,34.007,34.297,34.193,34.278
1888,2,33.091,33.981,34.262,34.184,34.281
1888,3,34.325,34.007,34.268,34.191,34.27
1888,4,34.507,34.049,34.277,34.196,34.272
1888,5,33.8,33.973,34.245,34.196,34.267
1888,6,33.553,34.035,34.206,34.194,34.266
1888,7,34.392,34.077,34.21,34.2,34.263
1888,8,33.744,34.199,34.199,34.2,34.259
1888,9,34.676,34.292,34.199,34.207,34.252
1888,10,35.037,34.291,34.181,34.21,34.25
1888,11,33.934,34.342,34.151,34.22,34.249
1888,12,34.273,34.45,34.145,34.232,34.242
1889,1,33.59,34.478,34.13,34.218,34.236
1889,2,34.553,34.497,34.127,34.219,34.23
1889,3,35.449,34.501,34.138,34.22,34.231
1889,4,34.492,34.421,34.155,34.231,34.237
1889,5,34.408,34.373,34.16,34.23,34.238
1889,6,34.847,34.416,34.191,34.24,34.242
1889,7,34.728,34.469,34.201,34.247,34.243
1889,8,33.981,34.415,34.211,34.251,34.241
1889,9,34.721,34.277,34.247,34.255,34.237
1889,10,34.069,34.27,34.261,34.261,34.24
1889,11,33.362,34.291,34.271,34.264,34.24
1889,12,34.788,34.29,34.282,34.258,34.238
1890,1,34.223,34.274,34.28,34.257,34.228
1890,2,33.911,34.244,34.284,34.266,34.231
1890,3,33.799,34.233,34.292,34.264,34.226
1890,4,34.406,34.274,34.297,34.285,34.231
1890,5,34.658,34.298,34.287,34.289,34.228
1890,6,34.839,34.098,34.282,34.3,34.232
1890,7,34.529,34.076,34.297,34.292,34.233
1890,8,33.628,33.997,34.285,34.277,34.233
1890,9,34.586,33.966,34.279,34.272,34.234
