Year,Month,Monthly,Annual,Five-Year,Ten-Year,Twenty-Year
1876,4,20.329,NaN,NaN,NaN,NaN
1876,5,21.029,NaN,NaN,NaN,NaN
1876,6,20.054,NaN,NaN,NaN,NaN
1876,7,NaN,NaN,NaN,NaN,NaN
1876,8,19.278,NaN,NaN,NaN,NaN
1876,9,19.666,NaN,NaN,NaN,NaN
1876,10,19.995,NaN,NaN,NaN,NaN
1876,11,19.56,NaN,NaN,NaN,NaN
1876,12,19.752,NaN,NaN,NaN,NaN
1877,1,NaN,NaN,NaN,NaN,NaN
1877,2,NaN,NaN,NaN,NaN,NaN
1877,3,NaN,NaN,NaN,NaN,NaN
1877,4,NaN,NaN,NaN,NaN,NaN
1877,5,NaN,NaN,NaN,NaN,NaN
1877,6,NaN,NaN,NaN,NaN,NaN
1877,7,NaN,NaN,NaN,NaN,NaN
1877,8,NaN,NaN,NaN,NaN,NaN
1877,9,NaN,NaN,NaN,NaN,NaN
1877,10,NaN,NaN,NaN,NaN,NaN
1877,11,NaN,NaN,NaN,NaN,NaN
1877,12,NaN,NaN,NaN,NaN,NaN
1878,1,18.87,NaN,NaN,NaN,NaN
1878,2,19.375,NaN,NaN,NaN,NaN
1878,3,20.839,20.903,NaN,NaN,NaN
1878,4,19.945,20.982,NaN,NaN,NaN
1878,5,21.439,20.734,NaN,NaN,NaN
1878,6,21.346,20.49,NaN,NaN,NaN
1878,7,21.423,20.578,19.981,NaN,NaN
1878,8,22.013,20.621,20.012,NaN,NaN
1878,9,21.972,20.44,20.032,NaN,NaN
1878,10,21.214,20.446,20.035,NaN,NaN
1878,11,19.04,20.305,20.041,NaN,NaN
1878,12,18.399,20.208,20.047,NaN,NaN
1879,1,19.926,20.098,20.066,NaN,NaN
1879,2,19.896,19.955,20.094,NaN,NaN
1879,3,18.67,19.787,20.113,NaN,NaN
1879,4,20.017,19.651,20.128,NaN,NaN
1879,5,19.747,19.647,20.137,NaN,NaN
1879,6,20.179,19.674,20.148,NaN,NaN
1879,7,20.107,19.624,20.165,NaN,NaN
1879,8,20.296,19.404,20.149,NaN,NaN
1879,9,19.951,19.527,20.144,NaN,NaN
1879,10,19.578,19.477,20.132,20.004,NaN
1879,11,19.001,19.524,20.131,19.995,NaN
1879,12,18.717,19.454,20.13,19.991,NaN
1880,1,19.33,19.393,20.132,20.004,NaN
1880,2,17.256,19.324,20.133,20.015,NaN
1880,3,20.14,19.309,20.139,20.025,NaN
1880,4,19.423,19.277,20.138,20.024,NaN
1880,5,20.309,19.281,20.081,20.027,NaN
1880,6,19.338,19.427,20.06,20.035,NaN
1880,7,19.382,19.494,20.082,20.042,NaN
1880,8,19.462,19.807,20.089,20.055,NaN
1880,9,19.767,19.821,20.067,20.067,NaN
1880,10,19.204,19.914,20.081,20.083,NaN
1880,11,19.04,20.004,20.075,20.103,NaN
1880,12,20.468,20.09,20.076,20.114,NaN
1881,1,20.14,20.254,20.056,20.113,NaN
1881,2,21.01,20.377,20.032,20.117,NaN
1881,3,20.308,20.466,20.007,20.114,NaN
1881,4,20.542,20.604,19.999,20.11,NaN
1881,5,21.386,20.694,20.015,20.108,NaN
1881,6,20.377,20.692,20.037,20.113,NaN
1881,7,21.348,20.754,20.039,20.12,NaN
1881,8,20.937,20.588,20.041,20.128,NaN
1881,9,20.832,20.506,20.058,20.139,NaN
1881,10,20.863,20.45,20.055,20.137,NaN
1881,11,20.12,20.374,20.062,20.141,NaN
1881,12,20.443,20.369,20.071,20.136,NaN
1882,1,20.878,20.292,20.077,20.129,NaN
1882,2,19.021,20.242,20.072,20.12,NaN
1882,3,19.322,20.229,20.091,20.112,NaN
1882,4,19.874,20.173,20.101,20.109,20.057
1882,5,20.47,20.051,20.088,20.101,20.056
1882,6,20.326,20.015,20.106,20.105,20.055
1882,7,20.418,19.962,20.109,20.111,20.055
1882,8,20.332,20.025,20.148,20.109,20.056
1882,9,20.687,20.041,20.144,20.11,20.054
1882,10,20.192,20.116,20.139,20.105,20.054
1882,11,18.65,20.171,20.129,20.087,20.055
1882,12,20.016,20.256,20.153,20.075,20.056
1883,1,20.238,20.241,20.174,20.079,20.056
1883,2,19.776,20.263,20.193,20.087,20.052
1883,3,19.507,20.246,20.208,20.084,20.054
1883,4,20.774,20.291,20.232,20.089,20.059
1883,5,21.129,20.402,20.258,20.077,20.059
1883,6,21.357,20.378,20.253,20.07,20.058
1883,7,20.23,20.359,20.245,20.063,20.058
1883,8,20.603,20.38,20.223,20.051,20.059
1883,9,20.481,20.398,20.196,20.041,20.059
1883,10,20.734,20.317,20.186,20.041,20.061
