Year,Month,Monthly,Annual,Five-Year,Ten-Year,Twenty-Year
1881,1,28.404,27.774,NaN,NaN,NaN
1881,2,28.205,27.831,NaN,NaN,NaN
1881,3,27.874,27.836,NaN,NaN,NaN
1881,4,27.476,27.889,NaN,NaN,NaN
1881,5,28.377,27.879,NaN,NaN,NaN
1881,6,27.645,27.822,NaN,NaN,NaN
1881,7,28.016,27.773,NaN,NaN,NaN
1881,8,27.836,27.63,NaN,NaN,NaN
1881,9,27.587,27.504,NaN,NaN,NaN
1881,10,27.838,27.494,27.336,NaN,NaN
1881,11,27.278,27.396,27.326,NaN,NaN
1881,12,27.325,27.382,27.32,NaN,NaN
1882,1,27.823,27.238,27.315,NaN,NaN
1882,2,26.481,27.176,27.316,NaN,NaN
1882,3,26.365,27.145,27.336,NaN,NaN
1882,4,27.357,27.097,27.332,NaN,NaN
1882,5,27.195,26.999,27.333,NaN,NaN
1882,6,27.483,27.062,27.33,NaN,NaN
1882,7,26.282,26.994,27.3,NaN,NaN
1882,8,27.102,27.019,27.319,NaN,NaN
1882,9,27.206,27.098,27.301,NaN,NaN
1882,10,27.262,27.118,27.278,NaN,NaN
1882,11,26.108,27.162,27.278,NaN,NaN
1882,12,28.083,27.247,27.279,NaN,NaN
1883,1,27.001,27.289,27.289,27.325,NaN
1883,2,26.78,27.258,27.3,27.331,NaN
1883,3,27.318,27.249,27.296,27.324,NaN
1883,4,27.6,27.28,27.297,27.318,NaN
1883,5,27.723,27.279,27.305,27.308,NaN
1883,6,28.503,27.222,27.296,27.303,NaN
1883,7,26.78,27.268,27.266,27.29,NaN
1883,8,26.735,27.248,27.229,27.282,NaN
1883,9,27.094,27.225,27.209,27.273,NaN
1883,10,27.636,27.202,27.209,27.274,NaN
1883,11,26.101,27.116,27.208,27.278,NaN
1883,12,27.393,27.01,27.219,27.296,NaN
1884,1,27.557,27.043,27.221,27.289,NaN
1884,2,26.534,27.101,27.207,27.297,NaN
1884,3,27.044,27.174,27.2,27.318,NaN
1884,4,27.317,27.131,27.197,27.321,NaN
1884,5,26.692,27.176,27.186,27.326,NaN
1884,6,27.234,27.179,27.163,27.329,NaN
1884,7,27.18,27.083,27.129,27.329,NaN
1884,8,27.432,27.081,27.135,27.327,NaN
1884,9,27.963,27.056,27.141,27.339,NaN
1884,10,27.122,26.959,27.146,27.335,NaN
1884,11,26.639,27.035,27.142,27.333,NaN
1884,12,27.431,27.046,27.146,27.339,NaN
1885,1,26.407,27.104,27.157,27.341,NaN
1885,2,26.506,27.134,27.148,27.364,NaN
1885,3,26.753,27.076,27.142,27.354,NaN
1885,4,26.149,27.087,27.145,27.354,NaN
1885,5,27.604,27.192,27.178,27.344,NaN
1885,6,27.363,27.194,27.167,27.348,NaN
1885,7,27.877,27.211,27.177,27.343,27.381
1885,8,27.794,27.166,27.195,27.332,27.379
1885,9,27.268,27.162,27.199,27.327,27.378
1885,10,27.257,27.274,27.197,27.326,27.379
1885,11,27.898,27.33,27.189,27.326,27.382
1885,12,27.449,27.41,27.169,27.321,27.387
1886,1,26.616,27.433,27.18,27.315,27.394
1886,2,25.959,27.366,27.188,27.307,27.396
1886,3,26.712,27.356,27.193,27.297,27.394
1886,4,27.489,27.39,27.2,27.299,27.396
1886,5,28.275,27.284,27.225,27.287,27.391
1886,6,28.328,27.156,27.253,27.28,27.393
1886,7,28.153,27.09,27.251,27.27,27.396
1886,8,26.992,27.16,27.272,27.262,27.394
1886,9,27.148,27.164,27.299,27.267,27.396
1886,10,27.656,27.179,27.306,27.268,27.392
1886,11,26.631,27.066,27.326,27.275,27.39
1886,12,25.915,27.017,27.338,27.284,27.389
1887,1,25.826,26.916,27.343,27.284,27.385
1887,2,26.791,26.878,27.337,27.289,27.381
1887,3,26.761,26.854,27.343,27.301,27.374
1887,4,27.67,26.839,27.339,27.312,27.369
1887,5,26.916,26.96,27.333,27.315,27.364
1887,6,27.742,27.087,27.348,27.316,27.361
1887,7,26.938,27.23,27.381,27.324,27.36
1887,8,26.54,27.319,27.409,27.325,27.357
1887,9,26.86,27.388,27.408,27.322,27.358
1887,10,27.479,27.37,27.431,27.327,27.358
1887,11,28.081,27.401,27.411,27.332,27.357
1887,12,27.436,27.361,27.418,27.328,27.363
1888,1,27.542,27.407,27.397,27.336,27.366
1888,2,27.866,27.459,27.363,27.328,27.366
1888,3,27.588,27.507,27.357,27.328,27.355
1888,4,27.454,27.551,27.355,27.335,27.357
1888,5,27.291,27.512,27.347,27.333,27.352
1888,6,27.255,27.65,27.347,27.323,27.348
1888,7,27.488,27.639,27.365,27.33,27.339
1888,8,27.172,27.635,27.386,27.338,27.334
1888,9,27.43,27.726,27.385,27.341,27.328
1888,10,28.015,27.748,27.388,27.336,27.326
1888,11,27.613,27.799,27.366,27.343,27.325
1888,12,29.082,27.859,27.34,27.348,27.321
1889,1,27.412,27.857,27.318,27.342,27.313
1889,2,27.822,27.847,27.316,27.346,27.313
1889,3,28.678,27.921,27.335,27.343,27.318
1889,4,27.714,27.825,27.338,27.348,27.322
1889,5,27.908,27.716,27.364,27.35,27.324
1889,6,27.971,27.656,27.405,27.36,27.325
1889,7,27.463,27.734,27.438,27.362,27.327
1889,8,27.06,27.766,27.443,27.357,27.325
1889,9,28.309,27.598,27.461,27.356,27.329
1889,10,26.873,27.583,27.477,27.36,27.33
1889,11,26.306,27.459,27.488,27.366,27.334
1889,12,28.357,27.444,27.486,27.365,27.337
1890,1,28.344,27.373,27.491,27.357,27.331
1890,2,28.204,27.267,27.502,27.365,27.337
1890,3,26.67,27.15,27.502,27.358,27.338
1890,4,27.529,27.171,27.508,27.369,27.345
1890,5,26.418,27.26,27.486,27.366,27.342
1890,6,27.793,27.186,27.488,27.371,27.346
1890,7,26.611,27.131,27.495,27.364,27.35
1890,8,25.787,27.051,27.461,27.355,27.352
1890,9,26.903,27.048,27.457,27.353,27.353
1890,10,27.133,27.061,27.472,27.349,27.353
1890,11,27.369,27.106,27.476,27.342,27.352
1890,12,27.471,27.021,27.478,27.351,27.348
1891,1,27.689,27.039,27.48,27.372,27.343
1891,2,27.235,27.13,27.488,27.381,27.337
1891,3,26.633,27.242,27.489,27.383,27.338
1891,4,27.693,27.304,27.473,27.393,27.344
1891,5,26.954,27.373,27.461,27.383,27.341
1891,6,26.77,27.449,27.444,27.378,27.345
1891,7,26.826,27.459,27.434,27.378,27.344
1891,8,26.887,27.444,27.421,27.377,27.341
1891,9,28.244,27.547,27.387,27.381,27.341
1891,10,27.87,27.625,27.39,27.372,27.338
1891,11,28.202,27.673,27.375,27.369,27.338
1891,12,28.38,27.744,27.381,27.383,27.341
1892,1,27.809,27.78,27.38,27.39,27.342
1892,2,27.064,27.808,27.378,27.385,27.349
1892,3,27.87,27.691,27.369,27.382,27.359
1892,4,28.621,27.689,27.381,27.38,27.365
1892,5,27.527,27.569,27.399,27.383,27.367
1892,6,27.622,27.499,27.381,27.378,27.368
1892,7,27.261,27.512,27.333,27.386,27.375
1892,8,27.227,27.41,27.32,27.394,27.378
1892,9,26.843,27.367,27.307,27.405,27.38
1892,10,27.847,27.345,27.308,27.411,27.38
1892,11,26.764,27.342,27.321,27.406,27.386
1892,12,27.529,27.321,27.325,27.411,27.381
1893,1,27.974,27.351,27.332,27.407,27.377
1893,2,25.837,27.388,27.346,27.401,27.376
1893,3,27.352,27.44,27.348,27.387,27.372
1893,4,28.358,27.376,27.343,27.396,27.366
1893,5,27.49,27.386,27.337,27.395,27.364
1893,6,27.368,27.429,27.355,27.393,27.36
1893,7,27.62,27.336,27.379,27.388,27.364
1893,8,27.678,27.434,27.375,27.386,27.369
1893,9,27.464,27.377,27.382,27.384,27.371
1893,10,27.076,27.336,27.397,27.379,27.369
1893,11,26.89,27.295,27.399,27.371,27.371
1893,12,28.049,27.378,27.415,27.345,27.369
1894,1,26.847,27.357,27.439,27.337,27.371
1894,2,27.014,27.297,27.437,27.33,27.375
1894,3,26.669,27.32,27.427,27.317,27.373
1894,4,27.87,27.367,27.405,27.324,27.374
1894,5,26.993,27.404,27.374,27.322,27.377
1894,6,28.362,27.341,27.36,27.321,27.379
1894,7,27.377,27.228,27.341,27.325,27.383
1894,8,26.951,27.263,27.327,27.323,27.384
1894,9,27.749,27.198,27.302,27.319,27.382
1894,10,27.636,27.174,27.282,27.325,27.383
1894,11,27.335,27.188,27.277,27.335,27.389
1894,12,27.291,27.162,27.27,27.335,27.388
1895,1,25.489,27.132,27.28,27.321,27.388
1895,2,27.433,27.106,27.286,27.311,27.386
1895,3,25.896,27.048,27.308,27.323,27.379
1895,4,27.579,26.98,27.314,27.335,27.381
1895,5,27.161,26.952,27.326,27.34,27.381
1895,6,28.049,27.056,27.333,27.344,27.381
1895,7,27.022,27.358,27.318,27.356,27.383
1895,8,26.638,27.324,27.34,27.373,27.383
1895,9,27.042,27.418,27.317,27.38,27.384
1895,10,26.829,27.505,27.319,27.38,27.386
1895,11,26.999,27.499,27.315,27.378,27.385
1895,12,28.539,27.472,27.308,27.375,27.384
1896,1,29.113,27.574,27.296,27.371,27.387
1896,2,27.024,27.587,27.284,27.367,27.388
1896,3,27.02,27.633,27.279,27.38,27.385
1896,4,28.625,27.613,27.285,27.389,27.383
1896,5,27.089,27.558,27.28,27.396,27.38
1896,6,27.721,27.475,27.246,27.411,27.374
1896,7,28.243,27.27,27.24,27.418,27.373
1896,8,26.8,27.205,27.239,27.42,27.375
1896,9,27.597,27.148,27.247,27.414,27.377
1896,10,26.586,27.048,27.257,27.409,27.376
1896,11,26.341,27.064,27.269,27.401,27.383
1896,12,27.541,27.018,27.261,27.398,27.393
1897,1,26.656,26.987,27.271,27.401,27.401
1897,2,26.24,27.053,27.269,27.408,27.399
1897,3,26.333,27.1,27.27,27.417,27.402
1897,4,27.43,27.236,27.268,27.417,27.398
1897,5,27.275,27.33,27.27,27.42,27.399
1897,6,27.18,27.364,27.289,27.42,27.398
1897,7,27.869,27.4,27.308,27.427,27.4
