Year,Month,Monthly,Annual,Five,Ten-,Twenty
1980,1,18.423,19.028,18.74,18.44,18.378
1980,2,20.824,20.616,20.352,20.07,20.005
1980,3,24.529,24.404,24.167,23.896,23.822
1980,4,29.848,28.036,27.847,27.584,27.512
1980,5,32.525,32.193,31.886,31.649,31.584
1980,6,34.676,34.811,34.483,34.293,34.235
1980,7,36.459,36.418,35.936,35.773,35.717
1980,8,35.282,36.132,35.663,35.53,35.467
1980,9,32.959,33.586,33.104,33.005,32.95
1980,10,29.224,29.337,28.891,28.843,28.783
1980,11,24.858,24.628,24.262,24.2,24.134
1980,12,19.814,20.409,20.086,20.021,19.958
1981,1,19.944,18.82,18.507,18.447,18.392
1981,2,20.398,20.516,20.144,20.08,20.023
1981,3,24.21,24.339,23.971,23.91,23.842
1981,4,28.907,27.983,27.656,27.611,27.535
1981,5,31.812,31.941,31.707,31.695,31.596
1981,6,34.206,34.628,34.336,34.345,34.245
1981,7,36.23,35.977,35.796,35.829,35.722
1981,8,36.083,35.59,35.517,35.58,35.472
1981,9,32.996,32.922,33.02,33.059,32.951
1981,10,28.665,28.608,28.862,28.889,28.784
1981,11,23.519,23.99,24.202,24.244,24.133
1981,12,20.259,19.824,19.974,20.05,19.956
1982,1,18.369,18.186,18.397,18.49,18.382
1982,2,18.756,19.711,19.999,20.123,20.017
1982,3,22.437,23.541,23.804,23.924,23.831
1982,4,27.17,27.287,27.45,27.605,27.517
1982,5,32.198,31.295,31.519,31.676,31.594
1982,6,34.38,33.785,34.161,34.317,34.243
1982,7,35.412,35.188,35.664,35.802,35.718
1982,8,34.824,34.933,35.387,35.553,35.468
1982,9,33.113,32.316,32.849,33.033,32.947
1982,10,29.341,28.043,28.63,28.856,28.775
1982,11,22.765,23.447,23.964,24.202,24.122
1982,12,18.348,19.291,19.766,20.006,19.951
1983,1,17.446,17.751,18.179,18.425,18.389
1983,2,18.691,19.473,19.822,20.055,20.016
1983,3,21.278,23.278,23.638,23.878,23.832
