Year,Month,Monthly_v2,Annual,Five,Ten,Twenty,,,,
1811,8,-5.115,NaN,NaN,NaN,NaN,,,,
1811,9,-5.392,NaN,NaN,NaN,NaN,,,,
1811,10,-8.104,NaN,NaN,NaN,NaN,,,,
1811,11,-7.857,NaN,NaN,NaN,NaN,,,,
1811,12,-4.334,NaN,NaN,NaN,NaN,,,,
1812,1,-6.91,-1.892,NaN,NaN,NaN,,,,
1812,2,-9.536,-1.765,NaN,NaN,NaN,,,,
1812,3,-8.154,-1.745,NaN,NaN,NaN,,,,
1812,4,-7.568,-1.662,NaN,NaN,NaN,,,,
1812,5,-6.493,NaN,NaN,NaN,NaN,,,,
1812,6,-6.643,NaN,NaN,NaN,NaN,,,,
1812,7,-5.281,NaN,NaN,NaN,NaN,,,,
1812,8,#VALUE!,NaN,NaN,NaN,NaN,,,,
1812,9,#VALUE!,NaN,NaN,NaN,NaN,,,,
1812,10,-7.112,NaN,NaN,NaN,NaN,,,,
1812,11,-7.058,NaN,NaN,NaN,NaN,,,,
1812,12,-5.357,NaN,NaN,NaN,NaN,,,,
1813,1,-7.337,NaN,NaN,NaN,NaN,,,,
1813,2,-6.016,-1.025,NaN,NaN,NaN,,,,
1813,3,#VALUE!,-0.869,NaN,NaN,NaN,,,,
1813,4,-4.803,NaN,NaN,NaN,NaN,,,,
1813,5,-3.97,NaN,NaN,NaN,NaN,,,,
1813,6,-5.095,NaN,NaN,NaN,NaN,,,,
1813,7,-4.766,NaN,NaN,NaN,NaN,,,,
1813,8,-5.852,NaN,NaN,NaN,NaN,,,,
1813,9,-3.282,NaN,NaN,NaN,NaN,,,,
1813,10,#VALUE!,NaN,NaN,NaN,NaN,,,,
1813,11,#VALUE!,NaN,NaN,NaN,NaN,,,,
1813,12,#VALUE!,NaN,NaN,NaN,NaN,,,,
1814,1,#VALUE!,NaN,NaN,NaN,NaN,,,,
1814,2,#VALUE!,NaN,NaN,NaN,NaN,,,,
1814,3,#VALUE!,NaN,NaN,NaN,NaN,,,,
1814,4,#VALUE!,NaN,NaN,NaN,NaN,,,,
1814,5,#VALUE!,NaN,NaN,NaN,NaN,,,,
1814,6,#VALUE!,NaN,NaN,NaN,NaN,,,,
1814,7,#VALUE!,NaN,NaN,NaN,NaN,,,,
1814,8,#VALUE!,NaN,NaN,NaN,NaN,,,,
1814,9,#VALUE!,NaN,NaN,NaN,NaN,,,,
1814,10,#VALUE!,NaN,NaN,NaN,NaN,,,,
1814,11,#VALUE!,NaN,NaN,NaN,NaN,,,,
1814,12,#VALUE!,NaN,NaN,NaN,NaN,,,,
1815,1,#VALUE!,NaN,NaN,NaN,NaN,,,,
1815,2,#VALUE!,NaN,NaN,NaN,NaN,,,,
1815,3,#VALUE!,NaN,NaN,NaN,NaN,,,,
1815,4,#VALUE!,NaN,NaN,NaN,NaN,,,,
1815,5,#VALUE!,NaN,NaN,NaN,NaN,,,,
1815,6,#VALUE!,NaN,NaN,NaN,NaN,,,,
1815,7,#VALUE!,NaN,NaN,NaN,NaN,,,,
1815,8,#VALUE!,NaN,NaN,NaN,NaN,,,,
1815,9,#VALUE!,NaN,NaN,NaN,NaN,,,,
1815,10,#VALUE!,NaN,NaN,NaN,NaN,,,,
1815,11,#VALUE!,NaN,NaN,NaN,NaN,,,,
1815,12,#VALUE!,NaN,NaN,NaN,NaN,,,,
1816,1,#VALUE!,NaN,NaN,NaN,NaN,,,,
1816,2,#VALUE!,NaN,NaN,NaN,NaN,,,,
1816,3,#VALUE!,NaN,NaN,NaN,NaN,,,,
1816,4,#VALUE!,NaN,NaN,NaN,NaN,,,,
1816,5,#VALUE!,NaN,NaN,NaN,NaN,,,,
1816,6,#VALUE!,NaN,NaN,NaN,NaN,,,,
1816,7,#VALUE!,NaN,NaN,NaN,NaN,,,,
1816,8,#VALUE!,NaN,NaN,NaN,NaN,,,,
1816,9,#VALUE!,NaN,NaN,NaN,NaN,,,,
1816,10,#VALUE!,NaN,NaN,NaN,NaN,,,,
1816,11,#VALUE!,NaN,NaN,NaN,NaN,,,,
1816,12,#VALUE!,NaN,NaN,NaN,NaN,,,,
1817,1,#VALUE!,NaN,NaN,NaN,NaN,,,,
1817,2,#VALUE!,NaN,NaN,NaN,NaN,,,,
1817,3,#VALUE!,NaN,NaN,NaN,NaN,,,,
1817,4,#VALUE!,NaN,NaN,NaN,NaN,,,,
1817,5,#VALUE!,NaN,NaN,NaN,NaN,,,,
1817,6,#VALUE!,NaN,NaN,NaN,NaN,,,,
1817,7,#VALUE!,NaN,NaN,NaN,NaN,,,,
1817,8,#VALUE!,NaN,NaN,NaN,NaN,,,,
1817,9,#VALUE!,NaN,NaN,NaN,NaN,,,,
1817,10,#VALUE!,NaN,NaN,NaN,NaN,,,,
1817,11,#VALUE!,NaN,NaN,NaN,NaN,,,,
1817,12,#VALUE!,NaN,NaN,NaN,NaN,,,,
1818,1,#VALUE!,NaN,NaN,NaN,NaN,,,,
1818,2,#VALUE!,NaN,NaN,NaN,NaN,,,,
1818,3,#VALUE!,NaN,NaN,NaN,NaN,,,,
1818,4,#VALUE!,NaN,NaN,NaN,NaN,,,,
1818,5,#VALUE!,NaN,NaN,NaN,NaN,,,,
1818,6,#VALUE!,NaN,NaN,NaN,NaN,,,,
1818,7,#VALUE!,NaN,NaN,NaN,NaN,,,,
1818,8,#VALUE!,NaN,NaN,NaN,NaN,,,,
1818,9,#VALUE!,NaN,NaN,NaN,NaN,,,,
1818,10,#VALUE!,NaN,NaN,NaN,NaN,,,,
1818,11,#VALUE!,NaN,NaN,NaN,NaN,,,,
1818,12,#VALUE!,NaN,NaN,NaN,NaN,,,,
1819,1,#VALUE!,NaN,NaN,NaN,NaN,,,,
1819,2,#VALUE!,NaN,NaN,NaN,NaN,,,,
1819,3,#VALUE!,NaN,NaN,NaN,NaN,,,,
1819,4,#VALUE!,NaN,NaN,NaN,NaN,,,,
1819,5,#VALUE!,NaN,NaN,NaN,NaN,,,,
1819,6,#VALUE!,NaN,NaN,NaN,NaN,,,,
1819,7,#VALUE!,NaN,NaN,NaN,NaN,,,,
1819,8,#VALUE!,NaN,NaN,NaN,NaN,,,,
1819,9,#VALUE!,NaN,NaN,NaN,NaN,,,,
1819,10,#VALUE!,NaN,NaN,NaN,NaN,,,,
1819,11,#VALUE!,NaN,NaN,NaN,NaN,,,,
1819,12,#VALUE!,NaN,NaN,NaN,NaN,,,,
1820,1,#VALUE!,NaN,NaN,NaN,NaN,,,,
1820,2,#VALUE!,NaN,NaN,NaN,NaN,,,,
1820,3,#VALUE!,NaN,NaN,NaN,NaN,,,,
1820,4,#VALUE!,NaN,NaN,NaN,NaN,,,,
1820,5,#VALUE!,NaN,NaN,NaN,NaN,,,,
1820,6,#VALUE!,NaN,NaN,NaN,NaN,,,,
1820,7,#VALUE!,NaN,NaN,NaN,NaN,,,,
1820,8,#VALUE!,NaN,NaN,NaN,NaN,,,,
1820,9,#VALUE!,NaN,NaN,NaN,NaN,,,,
1820,10,#VALUE!,NaN,NaN,NaN,NaN,,,,
1820,11,#VALUE!,NaN,NaN,NaN,NaN,,,,
1820,12,#VALUE!,NaN,NaN,NaN,NaN,,,,
1821,1,#VALUE!,NaN,NaN,NaN,NaN,,,,
1821,2,#VALUE!,NaN,NaN,NaN,NaN,,,,
1821,3,#VALUE!,NaN,NaN,NaN,NaN,,,,
1821,4,#VALUE!,NaN,NaN,NaN,NaN,,,,
1821,5,#VALUE!,NaN,NaN,NaN,NaN,,,,
1821,6,#VALUE!,NaN,NaN,NaN,NaN,,,,
1821,7,#VALUE!,NaN,NaN,NaN,NaN,,,,
1821,8,#VALUE!,NaN,NaN,NaN,NaN,,,,
1821,9,#VALUE!,NaN,NaN,NaN,NaN,,,,
1821,10,#VALUE!,NaN,NaN,NaN,NaN,,,,
1821,11,#VALUE!,NaN,NaN,NaN,NaN,,,,
1821,12,#VALUE!,NaN,NaN,NaN,NaN,,,,
1822,1,#VALUE!,NaN,NaN,NaN,NaN,,,,
1822,2,#VALUE!,NaN,NaN,NaN,NaN,,,,
1822,3,#VALUE!,NaN,NaN,NaN,NaN,,,,
1822,4,#VALUE!,NaN,NaN,NaN,NaN,,,,
1822,5,#VALUE!,NaN,NaN,NaN,NaN,,,,
1822,6,#VALUE!,NaN,NaN,NaN,NaN,,,,
1822,7,#VALUE!,NaN,NaN,NaN,NaN,,,,
1822,8,#VALUE!,NaN,NaN,NaN,NaN,,,,
1822,9,#VALUE!,NaN,NaN,NaN,NaN,,,,
1822,10,#VALUE!,NaN,NaN,NaN,NaN,,,,
1822,11,#VALUE!,NaN,NaN,NaN,NaN,,,,
1822,12,#VALUE!,NaN,NaN,NaN,NaN,,,,
1823,1,#VALUE!,NaN,NaN,NaN,NaN,,,,
1823,2,#VALUE!,NaN,NaN,NaN,NaN,,,,
1823,3,#VALUE!,NaN,NaN,NaN,NaN,,,,
1823,4,#VALUE!,NaN,NaN,NaN,NaN,,,,
1823,5,#VALUE!,NaN,NaN,NaN,NaN,,,,
1823,6,#VALUE!,NaN,NaN,NaN,NaN,,,,
1823,7,#VALUE!,NaN,NaN,NaN,NaN,,,,
1823,8,#VALUE!,NaN,NaN,NaN,NaN,,,,
1823,9,#VALUE!,NaN,NaN,NaN,NaN,,,,
1823,10,-7.624,NaN,NaN,NaN,NaN,,,,
1823,11,-6.768,NaN,NaN,NaN,NaN,,,,
1823,12,-6.744,NaN,NaN,NaN,NaN,,,,
1824,1,-3.623,NaN,NaN,NaN,NaN,,,,
1824,2,-7.406,NaN,NaN,NaN,NaN,,,,
1824,3,-5.231,NaN,NaN,NaN,NaN,,,,
1824,4,-4.549,NaN,NaN,NaN,NaN,,,,
1824,5,-4.831,NaN,NaN,NaN,NaN,,,,
1824,6,-3.411,NaN,NaN,NaN,NaN,,,,
1824,7,-3.759,NaN,NaN,NaN,NaN,,,,
1824,8,#VALUE!,NaN,NaN,NaN,NaN,,,,
1824,9,#VALUE!,NaN,NaN,NaN,NaN,,,,
1824,10,#VALUE!,NaN,NaN,NaN,NaN,,,,
1824,11,#VALUE!,NaN,NaN,NaN,NaN,,,,
1824,12,#VALUE!,NaN,NaN,NaN,NaN,,,,
1825,1,#VALUE!,NaN,NaN,NaN,NaN,,,,
1825,2,#VALUE!,NaN,NaN,NaN,NaN,,,,
1825,3,#VALUE!,NaN,NaN,NaN,NaN,,,,
1825,4,#VALUE!,NaN,NaN,NaN,NaN,,,,
1825,5,#VALUE!,NaN,NaN,NaN,NaN,,,,
1825,6,#VALUE!,NaN,NaN,NaN,NaN,,,,
1825,7,#VALUE!,NaN,NaN,NaN,NaN,,,,
1825,8,#VALUE!,NaN,NaN,NaN,NaN,,,,
1825,9,#VALUE!,NaN,NaN,NaN,NaN,,,,
1825,10,-7.823,NaN,NaN,NaN,NaN,,,,
1825,11,-7.131,NaN,NaN,NaN,NaN,,,,
1825,12,-5.433,NaN,NaN,NaN,NaN,,,,
1826,1,-4.826,NaN,NaN,NaN,NaN,,,,
1826,2,#VALUE!,NaN,NaN,NaN,NaN,,,,
1826,3,-5.248,NaN,NaN,NaN,NaN,,,,
1826,4,#VALUE!,NaN,NaN,NaN,NaN,,,,
1826,5,#VALUE!,NaN,NaN,NaN,NaN,,,,
1826,6,#VALUE!,NaN,NaN,NaN,NaN,,,,
1826,7,#VALUE!,NaN,NaN,NaN,NaN,,,,
1826,8,#VALUE!,NaN,NaN,NaN,NaN,,,,
1826,9,#VALUE!,NaN,NaN,NaN,NaN,,,,
1826,10,-6.975,NaN,NaN,NaN,NaN,,,,
1826,11,-3.884,NaN,NaN,NaN,NaN,,,,
1826,12,-2.791,NaN,NaN,NaN,NaN,,,,
1827,1,-1.83,NaN,NaN,NaN,NaN,,,,
1827,2,#VALUE!,NaN,NaN,NaN,NaN,,,,
1827,3,-5.206,NaN,NaN,NaN,NaN,,,,
1827,4,-3.095,NaN,NaN,NaN,NaN,,,,
1827,5,-3.315,NaN,NaN,NaN,NaN,,,,
1827,6,#VALUE!,NaN,NaN,NaN,NaN,,,,
1827,7,#VALUE!,NaN,NaN,NaN,NaN,,,,
1827,8,#VALUE!,NaN,NaN,NaN,NaN,,,,
1827,9,#VALUE!,NaN,NaN,NaN,NaN,,,,
1827,10,#VALUE!,NaN,NaN,NaN,NaN,,,,
1827,11,#VALUE!,NaN,NaN,NaN,NaN,,,,
1827,12,#VALUE!,NaN,NaN,NaN,NaN,,,,
1828,1,-6.019,NaN,NaN,NaN,NaN,,,,
1828,2,-5.345,NaN,NaN,NaN,NaN,,,,
1828,3,-3.46,NaN,NaN,NaN,NaN,,,,
1828,4,-3.647,NaN,NaN,NaN,NaN,,,,
1828,5,-4.414,NaN,NaN,NaN,NaN,,,,
1828,6,#VALUE!,NaN,NaN,NaN,NaN,,,,
1828,7,#VALUE!,NaN,NaN,NaN,NaN,,,,
1828,8,#VALUE!,NaN,NaN,NaN,NaN,,,,
1828,9,#VALUE!,NaN,NaN,NaN,NaN,,,,
1828,10,-6.132,NaN,NaN,NaN,NaN,,,,
1828,11,-5.485,NaN,NaN,NaN,NaN,,,,
1828,12,-6.219,NaN,NaN,NaN,NaN,,,,
1829,1,-5.179,-0.511,NaN,NaN,NaN,,,,
1829,2,-6.597,-0.538,NaN,NaN,NaN,,,,
1829,3,-4.291,-0.536,NaN,NaN,NaN,,,,
1829,4,-5.278,-0.532,NaN,NaN,NaN,,,,
1829,5,#VALUE!,-0.672,NaN,NaN,NaN,,,,
1829,6,-5.033,-0.632,NaN,NaN,NaN,,,,
1829,7,-5.472,-0.58,NaN,NaN,NaN,,,,
1829,8,-5.432,-0.308,NaN,NaN,NaN,,,,
1829,9,#VALUE!,-0.372,NaN,NaN,NaN,,,,
1829,10,-6.093,-0.201,NaN,NaN,NaN,,,,
1829,11,-7.167,-0.442,NaN,NaN,NaN,,,,
1829,12,-5.732,-0.522,NaN,NaN,NaN,,,,
1830,1,-4.56,NaN,NaN,NaN,NaN,,,,
1830,2,-3.325,NaN,NaN,NaN,NaN,,,,
1830,3,-5.063,NaN,NaN,NaN,NaN,,,,
1830,4,-3.222,NaN,NaN,NaN,NaN,,,,
1830,5,#VALUE!,NaN,NaN,NaN,NaN,,,,
1830,6,#VALUE!,NaN,NaN,NaN,NaN,,,,
1830,7,#VALUE!,NaN,NaN,NaN,NaN,,,,
1830,8,#VALUE!,NaN,NaN,NaN,NaN,,,,
1830,9,-6.287,NaN,NaN,NaN,NaN,,,,
1830,10,-5.509,NaN,NaN,NaN,NaN,,,,
1830,11,-1.528,0.506,NaN,NaN,NaN,,,,
1830,12,-2.365,0.548,NaN,NaN,NaN,,,,
1831,1,-2.601,0.404,NaN,NaN,NaN,,,,
1831,2,-4.149,0.437,NaN,NaN,NaN,,,,
1831,3,-3.962,NaN,NaN,NaN,NaN,,,,
1831,4,-5.197,NaN,NaN,NaN,NaN,,,,
1831,5,-5.191,NaN,NaN,NaN,NaN,,,,
1831,6,#VALUE!,NaN,NaN,NaN,NaN,,,,
1831,7,#VALUE!,NaN,NaN,NaN,NaN,,,,
1831,8,#VALUE!,NaN,NaN,NaN,NaN,,,,
1831,9,#VALUE!,NaN,NaN,-0.44,NaN,,,,
1831,10,-6.525,NaN,NaN,-0.441,NaN,,,,
1831,11,-4.79,NaN,NaN,-0.461,NaN,,,,
1831,12,-7.545,NaN,NaN,-0.487,NaN,,,,
1832,1,-3.286,NaN,NaN,-0.505,NaN,,,,
1832,2,-9.028,NaN,NaN,-0.514,NaN,,,,
1832,3,-4.652,NaN,-0.41,-0.518,NaN,,,,
1832,4,-6.319,NaN,-0.416,-0.551,NaN,,,,
1832,5,-5.675,NaN,-0.364,-0.577,NaN,,,,
1832,6,#VALUE!,NaN,-0.366,-0.59,NaN,,,,
1832,7,#VALUE!,NaN,-0.349,-0.606,NaN,,,,
1832,8,#VALUE!,NaN,-0.403,-0.614,NaN,,,,
1832,9,#VALUE!,NaN,-0.408,-0.616,NaN,,,,
1832,10,-6.112,NaN,-0.456,-0.638,NaN,,,,
1832,11,-6.221,NaN,-0.447,-0.649,NaN,,,,
1832,12,-6.488,NaN,-0.448,-0.655,-0.574,,,,
1833,1,-4.128,NaN,-0.489,-0.658,-0.568,,,,
1833,2,-6.302,NaN,-0.502,-0.664,-0.567,,,,
1833,3,-4.481,-0.604,-0.508,-0.676,-0.57,,,,
1833,4,-4.949,-0.658,-0.534,-0.71,-0.564,,,,
1833,5,#VALUE!,-0.508,-0.617,-0.727,-0.565,,,,
1833,6,#VALUE!,-0.339,-0.688,-0.739,-0.576,,,,
1833,7,#VALUE!,-0.533,-0.728,-0.744,-0.582,,,,
1833,8,-5.15,-0.405,-0.76,-0.75,-0.583,,,,
1833,9,-5.172,-0.398,-0.793,-0.739,-0.582,,,,
1833,10,-6.765,-0.396,-0.826,-0.74,-0.582,,,,
1833,11,-4.414,-0.404,-0.834,-0.752,-0.581,,,,
1833,12,-4.462,-0.426,-0.838,-0.752,-0.57,,,,
1834,1,-6.455,-0.377,-0.842,-0.752,-0.585,,,,
1834,2,-4.764,-0.419,-0.867,-0.717,-0.571,,,,
1834,3,-4.398,-0.438,-0.871,-0.736,-0.577,,,,
1834,4,-4.927,-0.41,-0.879,-0.716,-0.578,,,,
1834,5,-5.556,-0.381,-0.904,-0.738,-0.587,,,,
1834,6,-5.881,-0.494,-0.878,-0.742,-0.6,,,,
1834,7,-5.258,-0.254,-0.889,-0.739,-0.61,,,,
1834,8,-5.653,-0.404,-0.836,-0.728,-0.614,,,,
1834,9,-5.408,-0.482,-0.853,-0.729,-0.62,,,,
1834,10,-6.422,-0.584,-0.865,-0.734,-0.616,,,,
1834,11,-4.068,-0.608,-0.878,-0.72,-0.62,,,,
1834,12,-5.823,-0.623,-0.888,-0.706,-0.625,,,,
1835,1,-3.571,-0.731,-0.91,-0.692,-0.621,,,,
1835,2,-6.565,-0.804,-0.907,-0.721,-0.624,,,,
1835,3,-5.332,-0.906,-0.907,-0.713,-0.632,,,,
1835,4,-6.152,-0.962,-0.936,-0.738,-0.64,,,,
1835,5,-5.844,-1.164,-0.946,-0.725,-0.647,,,,
1835,6,-6.064,-1.234,-0.946,-0.719,-0.656,,,,
1835,7,-6.557,-1.348,-0.983,-0.72,-0.658,,,,
1835,8,#VALUE!,-1.307,-0.98,-0.726,-0.656,,,,
1835,9,-6.635,-1.36,-0.985,-0.717,-0.658,,,,
1835,10,-7.095,-1.447,-1.032,-0.733,-0.659,,,,
1835,11,-6.488,-1.431,-1.05,-0.773,-0.655,,,,
1835,12,-6.66,-1.401,-1.046,-0.804,-0.658,,,,
1836,1,-4.948,-1.364,-1.038,-0.827,-0.642,,,,
1836,2,-6.064,-1.39,-1.049,-0.831,-0.637,,,,
1836,3,-5.976,-1.359,-1.049,-0.846,-0.626,,,,
1836,4,-7.19,-1.355,-1.04,-0.875,-0.632,,,,
1836,5,-5.658,-1.338,-1.082,-0.879,-0.636,,,,
1836,6,-5.702,-1.279,-1.111,-0.879,-0.632,,,,
1836,7,-6.113,-1.197,-1.089,-0.875,-0.631,,,,
1836,8,-6.827,-1.178,-1.05,-0.871,-0.626,,,,
1836,9,-6.269,-1.154,-1.086,-0.871,-0.623,,,,
1836,10,-7.042,-1.142,-1.052,-0.87,-0.622,,,,
1836,11,-6.29,-1.206,-1.062,-0.869,-0.625,,,,
1836,12,-5.948,-1.248,-1.056,-0.846,-0.632,,,,
1837,1,-3.969,-1.312,-1.054,-0.853,-0.64,,,,
1837,2,-5.83,-1.266,-1.028,-0.827,-0.635,,,,
1837,3,-5.693,-1.229,-1.047,-0.826,-0.639,,,,
1837,4,-7.048,-1.294,-1.053,-0.807,-0.652,,,,
1837,5,-6.421,-1.341,-1.076,-0.812,-0.662,,,,
1837,6,-6.211,-1.382,-1.047,-0.824,-0.667,,,,
1837,7,-6.875,-1.584,-1.035,-0.83,-0.669,,,,
1837,8,-6.274,-1.605,-1.039,-0.817,-0.671,,,,
1837,9,-5.83,-1.533,-1.018,-0.818,-0.67,,,,
1837,10,-7.818,-1.593,-1.019,-0.818,-0.674,,,,
1837,11,-6.852,-1.598,-1.003,-0.819,-0.676,,,,
1837,12,-6.446,-1.529,-0.989,-0.799,-0.678,,,,
1838,1,-6.39,-1.405,-0.952,-0.785,-0.677,,,,
1838,2,-6.081,-1.369,-0.95,-0.794,-0.672,,,,
1838,3,-4.834,-1.312,-0.927,-0.813,-0.682,,,,
1838,4,-7.762,-1.18,-0.932,-0.818,-0.687,,,,
