Year,Month,Monthly_Anomaly, Monthly Unc.,Annual_Anomaly,Annual Unc.,Five_year_Anomaly,Five-year Unc.,Ten_year_Anomaly,Ten-year Unc.,Twenty_year_Anomaly,Twentry-year Unc.
1811,8,-0.225,2.248,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1811,9,-0.502,2.366,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1811,10,-3.214,2.893,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1811,11,-2.967,2.587,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1811,12,0.556,2.678,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1812,1,-2.02,4.263,-1.892,1.022,NaN,NaN,NaN,NaN,NaN,NaN
1812,2,-4.646,2.464,-1.765,1.051,NaN,NaN,NaN,NaN,NaN,NaN
1812,3,-3.264,2.647,-1.745,1.016,NaN,NaN,NaN,NaN,NaN,NaN
1812,4,-2.678,2.566,-1.662,0.964,NaN,NaN,NaN,NaN,NaN,NaN
1812,5,-1.603,2.296,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1812,6,-1.753,2.129,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1812,7,-0.391,2.47,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1812,8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1812,9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1812,10,-2.222,2.294,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1812,11,-2.168,2.595,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1812,12,-0.467,3.141,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1813,1,-2.447,3.445,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1813,2,-1.126,2.91,-1.025,0.992,NaN,NaN,NaN,NaN,NaN,NaN
1813,3,NaN,NaN,-0.869,0.989,NaN,NaN,NaN,NaN,NaN,NaN
1813,4,0.087,2.58,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1813,5,0.92,2.302,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1813,6,-0.205,2.507,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1813,7,0.124,2.295,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1813,8,-0.962,2.259,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1813,9,1.608,2.289,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1813,10,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1813,11,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1813,12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1814,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1814,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1814,3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1814,4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1814,5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1814,6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1814,7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1814,8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1814,9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1814,10,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1814,11,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1814,12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1815,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1815,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1815,3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1815,4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1815,5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1815,6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1815,7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1815,8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1815,9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1815,10,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1815,11,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1815,12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1816,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1816,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1816,3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1816,4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1816,5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1816,6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1816,7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1816,8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1816,9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1816,10,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1816,11,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1816,12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1817,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1817,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1817,3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1817,4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1817,5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1817,6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1817,7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1817,8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1817,9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1817,10,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1817,11,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1817,12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1818,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1818,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1818,3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1818,4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1818,5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1818,6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
